,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,esperance,20,TT,1536890400,83,10.24,-61.45,80.6,4.7
1,troitsko-pechorsk,92,RU,1536894534,99,62.71,56.19,48.16,5.95
2,tessalit,12,ML,1536894534,26,20.2,1.01,76.87,2.59
3,atuona,0,PF,1536894535,99,-9.8,-139.03,79.84,16.91
4,kaoma,0,ZM,1536894490,40,-14.8,24.8,59.68,10.54
5,mataura,0,NZ,1536894353,58,-46.19,168.86,62.02,14.79
6,saint-philippe,1,CA,1536893700,100,45.36,-73.48,64.02,3.71
7,elizabeth city,75,US,1536894240,97,36.3,-76.22,80.47,24.16
8,chiredzi,0,ZW,1536894491,77,-21.05,31.67,54.01,2.93
9,plettenberg bay,0,ZA,1536894491,100,-34.05,23.37,56.98,14.45
10,hasaki,75,JP,1536892200,83,35.73,140.83,73.33,3.36
11,rikitea,24,PF,1536894235,99,-23.12,-134.97,74.17,11.99
12,jaumave,68,MX,1536894492,98,23.41,-99.38,63.01,1.92
13,libertador general san martin,90,AR,1536890400,87,-23.81,-64.79,55.4,6.93
14,campbell river,75,CA,1536891900,93,50.02,-125.24,57.78,2.24
15,punta arenas,0,CL,1536890400,87,-53.16,-70.91,42.8,14.99
16,dwarka,20,IN,1536892200,78,28.58,77.04,78.8,9.17
17,changde,44,CN,1536894493,87,29.04,111.68,79.93,4.16
18,jizan,0,SA,1536894537,100,16.89,42.56,83.35,3.6
19,bethel,1,US,1536889980,56,60.79,-161.76,66.02,3.36
20,muyezerskiy,48,RU,1536894540,97,63.93,31.65,46.63,7.4
21,kapaa,90,US,1536890580,93,22.08,-159.32,82.04,19.46
22,aklavik,40,CA,1536890400,69,68.22,-135.01,33.8,10.29
23,obo,8,CF,1536894540,91,5.39,26.49,65.8,3.38
24,rio verde de mato grosso,0,BR,1536894314,72,-18.92,-54.84,70.66,2.15
25,erenhot,92,CN,1536894541,95,43.65,111.97,59.77,14.23
26,sioux lookout,90,CA,1536892380,94,50.1,-91.92,66.97,9.17
27,bredasdorp,76,ZA,1536890400,76,-34.53,20.04,51.8,6.93
28,alice springs,0,AU,1536892200,8,-23.7,133.88,87.8,13.87
29,butaritari,64,KI,1536894542,100,3.07,172.79,84.61,11.65
30,puerto del rosario,44,ES,1536894000,88,28.5,-13.86,75.2,9.17
31,kapit,0,MY,1536894651,65,2.02,112.94,86.68,2.37
32,ushuaia,40,AR,1536890400,86,-54.81,-68.31,39.2,20.8
33,port alfred,0,ZA,1536894651,97,-33.59,26.89,59.14,8.75
34,margate,0,AU,1536892500,34,-43.03,147.26,68.0,17.22
35,ivanava,0,BY,1536894652,88,52.14,25.53,52.75,3.15
36,upernavik,32,GL,1536894652,100,72.79,-56.15,35.56,3.83
37,jamestown,0,AU,1536894652,28,-33.21,138.6,75.43,21.83
38,busselton,24,AU,1536894653,100,-33.64,115.35,58.51,23.17
39,daru,92,SL,1536894653,100,7.99,-10.85,68.05,5.28
40,yellowknife,75,CA,1536890400,69,62.45,-114.38,35.6,11.41
41,provideniya,90,RU,1536892200,87,64.42,-173.23,46.4,17.9
42,samarai,88,PG,1536894654,98,-10.62,150.67,78.31,18.03
43,salalah,75,OM,1536889800,83,17.01,54.1,77.0,1.12
44,caohai,0,CN,1536894655,79,26.87,104.28,69.13,5.17
45,conde,92,BR,1536894655,84,-11.81,-37.61,74.89,10.98
46,nivala,0,FI,1536894655,86,63.93,24.96,48.34,6.4
47,partenit,24,UA,1536894656,92,44.58,34.34,70.84,17.81
48,longyearbyen,75,NO,1536893400,80,78.22,15.63,33.8,2.71
49,tromso,92,NO,1536894390,100,69.65,18.96,44.83,2.04
50,bambanglipuro,92,ID,1536894656,77,-7.95,110.28,75.61,4.61
51,port elizabeth,90,US,1536893700,96,39.31,-74.98,71.65,10.29
52,saint-augustin,90,FR,1536894000,93,44.83,-0.61,59.0,2.24
53,uruzgan,0,AF,1536894657,56,32.93,66.63,43.39,2.15
54,hilo,90,US,1536890160,71,19.71,-155.08,70.32,12.75
55,monrovia,40,LR,1536892200,100,6.33,-10.8,73.4,3.6
56,albany,40,US,1536893640,81,42.65,-73.75,68.2,2.59
57,torbay,90,CA,1536890400,100,47.66,-52.73,51.8,2.24
58,olgiate comasco,0,IT,1536893400,88,45.79,8.97,65.07,5.82
59,cape town,75,ZA,1536890400,87,-33.93,18.42,55.4,13.87
60,new norfolk,0,AU,1536892500,34,-42.78,147.06,68.0,17.22
61,vaini,12,IN,1536894659,92,15.34,74.49,70.75,0.92
62,khatanga,12,RU,1536894660,100,71.98,102.47,41.23,10.76
63,bambous virieux,20,MU,1536890400,77,-20.34,57.76,69.8,4.7
64,skibbereen,75,IE,1536894000,93,51.55,-9.27,51.8,10.29
65,shahr-e babak,0,IR,1536894660,32,30.12,55.12,60.31,5.39
66,hobart,0,AU,1536892500,34,-42.88,147.33,68.0,17.22
67,kodiak,1,US,1536889980,87,39.95,-94.76,73.04,6.93
68,saldanha,0,PT,1536894661,81,41.42,-6.55,54.73,2.15
69,bouna,0,CI,1536894662,96,9.27,-3.0,72.73,7.63
70,srostki,32,RU,1536894662,64,52.42,85.7,51.58,7.18
71,wladyslawowo,20,PL,1536894000,100,54.79,18.4,42.8,2.24
72,sibolga,20,ID,1536894662,80,1.74,98.78,77.68,2.59
73,turukhansk,0,RU,1536894663,79,65.8,87.96,39.16,17.81
74,cidreira,88,BR,1536894663,89,-30.17,-50.22,63.73,7.74
75,east london,0,ZA,1536894663,100,-33.02,27.91,62.74,11.65
76,rocha,76,UY,1536894664,96,-34.48,-54.34,56.44,6.4
77,sobolevo,76,RU,1536894664,91,54.43,31.9,50.41,2.71
78,casablanca,0,MA,1536892200,94,33.6,-7.62,69.8,5.82
79,aranos,0,NA,1536894664,30,-24.14,19.11,45.46,2.26
80,tasiilaq,92,GL,1536893400,86,65.61,-37.64,39.2,2.24
81,srednekolymsk,88,RU,1536894665,84,67.46,153.71,38.08,3.94
82,salekhard,88,RU,1536894665,96,66.54,66.62,45.01,8.3
83,oriximina,0,BR,1536894666,65,-1.77,-55.87,83.44,5.73
84,puerto ayora,44,EC,1536894666,100,-0.74,-90.35,70.66,12.21
85,hofn,64,IS,1536894666,100,64.25,-15.21,44.74,8.52
86,mehamn,75,NO,1536893400,81,71.03,27.85,50.0,9.17
87,thinadhoo,88,MV,1536894667,98,0.53,72.93,84.61,15.01
88,ambon,0,FR,1536894000,93,47.55,-2.56,48.2,3.36
89,gat,12,SN,1536894667,98,14.69,-16.54,73.54,3.04
90,narsaq,92,GL,1536893400,80,60.91,-46.05,39.2,3.36
